rater,leaf,actual,UNexp,LINexp
4,29,10.76,12,9.6
4,30,69.39,85,76.5
4,31,10.4,42,15.5
4,32,91.06,62,90
4,33,4.97,10,9.6
4,34,99.67,98,97.3
4,35,87.17,88,76.5
4,36,20.26,65,24.7
4,37,5.35,32,10
4,38,50.87,75,61.1
4,39,67.24,76,61.1
4,40,9.67,28,15
4,41,7.08,18,15.7
4,42,3.84,15,9.6
4,43,9.56,20,15.7
4,44,61.34,80,76.5
4,45,85.5,95,80.5
4,46,39.09,65,45
4,47,42.38,58,44.6
4,48,15.65,20,15.7
4,49,51.85,42,45.5
4,50,60.9,45,50
5,1,70.48,71,65.5
5,2,96.07,92,97.3
5,3,99.96,98,97.3
5,4,72.45,88,65
5,5,97.39,95,97.3
5,6,88.68,94,75.8
5,7,91.03,96,90
5,8,19.79,78,15.7
5,9,25.16,78,15.7
5,10,90.59,90,93.8
5,11,9.1,69,9.6
5,12,36.99,71,24.7
5,13,10.93,68,9.6
5,14,99.64,94,97.3
5,15,26.73,78,24.7
5,16,87.96,89,80
5,17,6.05,70,0.5
5,18,87.32,82,97.3
5,19,12.18,75,9.6
5,20,96.43,96,97.3
5,21,9.62,82,9.6
5,22,10.41,85,9.6
5,23,5.39,73,3.5
5,24,5.62,73,3.5
5,25,12.37,76,9.6
5,26,4.42,69,0.5
5,27,29.76,80,15.7
5,28,29.76,81,15.7
5,29,10.76,75,9.6
5,30,69.39,96,70
5,31,10.4,93,15.5
5,32,91.06,97,97.3
5,33,4.97,82,0.5
5,34,99.67,100,100
5,35,87.17,96,76.5
5,36,20.26,70,15
5,37,5.35,69,0.5
5,38,50.87,88,60
5,39,67.24,93,61.1
5,40,9.67,82,9.6
5,41,7.08,80,0.5
5,42,3.84,72,0.5
5,43,9.56,75,9.6
5,44,61.34,92,76.5
5,45,85.5,98,97.3
5,46,39.09,93,44.6
5,47,42.38,98,76.5
5,48,15.65,76,24.7
5,49,51.85,88,44.6
5,50,60.9,99,70
6,1,70.48,73,76
6,2,96.07,92,97
6,3,99.96,95,98
6,4,72.45,66,71
6,5,97.39,93,96
6,6,88.68,91,93
6,7,91.03,88,90
6,8,19.79,28,24
6,9,25.16,28,24
6,10,90.59,79,85
6,11,9.1,8,9.4
6,12,36.99,29,28
6,13,10.93,13,11
6,14,99.64,98,98
6,15,26.73,33,32
6,16,87.96,76,79
6,17,6.05,11,8
6,18,87.32,95,97
6,19,12.18,22,19
6,20,96.43,94,97
6,21,9.62,15,17
6,22,10.41,16,18
6,23,5.39,16,10
6,24,5.62,16,10
6,25,12.37,21,15
6,26,4.42,7,8
6,27,29.76,30,34
6,28,29.76,27,31
6,29,10.76,24,21
6,30,69.39,76,78
6,31,10.4,40,18
6,32,91.06,92,88
6,33,4.97,3,4
6,34,99.67,99,99
6,35,87.17,93,85
6,36,20.26,22,26
6,37,5.35,10,9
6,38,50.87,62,65
6,39,67.24,68,70
6,40,9.67,31,15
6,41,7.08,33,16
6,42,3.84,6,7
6,43,9.56,15,15.5
6,44,61.34,73,75
6,45,85.5,82,90
6,46,39.09,73,45
6,47,42.38,37,36
6,48,15.65,18,21
6,49,51.85,88,50
6,50,60.9,94,70
7,1,70.48,75,76.35
7,2,96.07,87,97.3
